"genusName","feeding","basal","enrichment","structure","cp","GenavgMass","GenavgCPr","GenavgCRs","GenavgMFP","GenavgEFP","GenavgSFP","GenavgHFP","GenavgFFP","GenavgBFP","GenavgPFP","StderrMass","StderrCPr","StderrCRs","StderrMFP","StderrEFP","StderrSFP","StderrHFP","StderrFFP","StderrBFP","StderrPFP"
"Aspidodera","0","0.0","0.0","0.0","0","314.0204","0.0","20.3648","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aspidonema","3","0.0","3.2","0.0","1","0.1301","0.013","0.0568","0.0698","0.0698","0.0","0.0","0.0","0.0698","0.0","0.0809","0.0081","0.0282","0.0363","0.0363","0.0","0.0","0.0","0.0363","0.0"
"Astomonema","0","0.0","0.0","1.8","3","4.4997","0.15","0.8434","0.9934","0.0","0.9934","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Atalodera","1","0.0","0.0","0.0","3","69.6071","2.3202","6.4836","8.8038","0.0","0.0","8.8038","0.0","0.0","0.0","15.2436","0.5081","1.1001","1.6081","0.0","0.0","1.6081","0.0","0.0","0.0"
"Atetylenchus","1","0.0","0.0","0.0","2","0.3311","0.0166","0.1156","0.1322","0.0","0.0","0.1322","0.0","0.0","0.0","0.0775","0.0039","0.0205","0.0243","0.0","0.0","0.0243","0.0","0.0","0.0"
"Atylenchus","1","0.0","0.0","0.0","2","0.1156","0.0058","0.0541","0.0599","0.0","0.0","0.0599","0.0","0.0","0.0","0.0093","5.0E-4","0.0033","0.0037","0.0","0.0","0.0037","0.0","0.0","0.0"
"Auanema","3","0.0","3.2","0.0","1","2.3802","0.238","0.5204","0.7584","0.7584","0.0","0.0","0.0","0.7584","0.0","0.2329","0.0233","0.0382","0.0615","0.0615","0.0","0.0","0.0","0.0615","0.0"
"Auanema","3","0.0","3.2","0.0","1","2.3802","0.238","0.5204","0.7584","0.7584","0.0","0.0","0.0","0.7584","0.0","0.2329","0.0233","0.0382","0.0615","0.0615","0.0","0.0","0.0","0.0615","0.0"
"Aulolaimoides","8","0.0","0.0","1.8","3","0.7791","0.026","0.2215","0.2474","0.0","0.2474","0.0","0.0","0.0","0.2474","0.2731","0.0091","0.0581","0.0672","0.0","0.0672","0.0","0.0","0.0","0.0672"
"Aulolaimus","3","0.0","0.0","1.8","3","0.2269","0.0076","0.0882","0.0957","0.0","0.0957","0.0","0.0","0.0957","0.0","0.0216","7.0E-4","0.0059","0.0066","0.0","0.0066","0.0","0.0","0.0066","0.0"
"Australodorus","1","0.0","0.0","0.0","5","7.4726","0.1495","1.2339","1.3833","0.0","0.0","1.3833","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Axodorylaimellus","1","0.0","0.0","0.0","5","0.1216","0.0024","0.0562","0.0586","0.0","0.0","0.0586","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Axonchium","1","0.0","0.0","0.0","5","2.7365","0.0547","0.5439","0.5987","0.0","0.0","0.5987","0.0","0.0","0.0","0.6137","0.0123","0.0892","0.1014","0.0","0.0","0.1014","0.0","0.0","0.0"
"Axonchoides","1","0.0","0.0","0.0","5","4.1945","0.0839","0.8002","0.884","0.0","0.0","0.884","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Axonolaimus","0","0.8","0.0","0.0","2","1.2121","0.0606","0.3154","0.376","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bakeria","0","0.0","0.0","0.0","0","75.1486","0.0","6.9679","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Baladorylaimus","5","0.0","0.0","3.2","4","0.7924","0.0198","0.2293","0.2491","0.0","0.2491","0.0","0.0","0.0","0.2491","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Baldwinema","3","0.0","3.2","0.0","1","0.0448","0.0045","0.0262","0.0307","0.0307","0.0","0.0","0.0","0.0307","0.0","0.0124","0.0012","0.0055","0.0067","0.0067","0.0","0.0","0.0","0.0067","0.0"
"Baqriella","8","0.0","0.0","3.2","4","0.4069","0.0102","0.1391","0.1492","0.0","0.1492","0.0","0.0","0.0","0.1492","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Baruscapillaria","0","0.0","0.0","0.0","0","0.0178","0.0","0.0133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Basilaphelenchus","2","0.8","0.8","0.0","2","0.0552","0.0028","0.0293","0.032","0.032","0.0","0.0","0.032","0.0","0.0","0.0239","0.0012","0.0094","0.0106","0.0106","0.0","0.0","0.0106","0.0","0.0"
"Basiria","1","0.0","0.0","0.0","2","0.1508","0.0075","0.0638","0.0714","0.0","0.0","0.0714","0.0","0.0","0.0","0.0136","7.0E-4","0.0043","0.005","0.0","0.0","0.005","0.0","0.0","0.0"
"Basirotyleptus","2","0.0","0.0","3.2","4","0.2126","0.0053","0.0832","0.0886","0.0","0.0886","0.0","0.0886","0.0","0.0","0.0251","6.0E-4","0.0074","0.008","0.0","0.008","0.0","0.008","0.0","0.0"
"Bastiania","3","0.0","0.0","1.8","3","0.1741","0.0058","0.0726","0.0784","0.0","0.0784","0.0","0.0","0.0784","0.0","0.0319","0.0011","0.0102","0.0113","0.0","0.0113","0.0","0.0","0.0113","0.0"
"Bathyepsilonema","0","0.0","0.0","3.2","4","0.5687","0.0142","0.1788","0.193","0.0","0.193","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
